X,Y,objectid,arc_,streetcl_,streetcl_i,node_id,int_id,update_,intersecti,x_coord,y_coord
-8365958.19289249,4857043.14798108,10705,,,,22917,22917,1998/06/17 00:00:00+00,CATHARINE ST & E PASSYUNK AVE,,
-8365818.38237179,4857057.25140053,10706,,,,22888,22888,1998/06/17 00:00:00+00,S 5TH ST & FULTON ST,,
-8365826.35571555,4857012.70370656,10707,,,,22936,22936,1998/06/17 00:00:00+00,S 5TH ST & CATHARINE ST,,
-8365707.48227941,4857714.77661502,10708,,,,22231,22231,1998/06/17 00:00:00+00,S 5TH ST & ADDISON CT,,
-8365660.92602799,4857706.89231814,10709,,,,22237,22237,1998/06/17 00:00:00+00,ADDISON ST & DEAD END EAST,,
-8365697.83199023,4857770.05486344,10710,,,,22179,22179,1998/06/17 00:00:00+00,S 5TH ST & PINE ST,,
-8365611.25449426,4857216.39210502,10711,,,,22736,22736,1998/06/17 00:00:00+00,S 4TH ST & MONROE ST,,
-8365642.91300851,4857317.43762892,10712,,,,22649,22617,1998/06/17 00:00:00+00,BAINBRIDGE ST & S LEITHGOW ST,,
-8365436.42213145,4857178.54447929,10713,,,,22767,22767,1998/06/17 00:00:00+00,S 3RD ST & MONROE ST,,
-8365445.04534632,4857127.50467074,10714,,,,22819,22819,1998/06/17 00:00:00+00,S 3RD ST & PEMBERTON ST,,
-8365619.6189346,4857168.42194204,10715,,,,22784,22784,1998/06/17 00:00:00+00,S 4TH ST & PEMBERTON ST,,
-8365629.98976265,4857109.5277728,10716,,,,22840,22840,1998/06/17 00:00:00+00,S 4TH ST & FITZWATER ST,,
-8365454.98187598,4857068.65378237,10717,,,,22867,22867,1998/06/17 00:00:00+00,S 3RD ST & FITZWATER ST,,
-8365764.9937591,4856997.84690554,10718,,,,22945,22945,1998/06/17 00:00:00+00,CATHARINE ST & S LAWRENCE ST,,
-8365699.02250202,4856983.25702593,10719,,,,22958,22958,1998/06/17 00:00:00+00,CATHARINE ST & S LEITHGOW ST,,
-8365652.20190316,4856971.72804148,10720,,,,22964,22964,1998/06/17 00:00:00+00,S 4TH ST & CATHARINE ST,,
