the_geom,the_geom_webmercator,street,city,state,latitude,longitude,district_number,block,side,lat,lng
0101000020E6100000E075FACA4ECD52C008ABFAC748F94340,0101000020110F00006AE29F3BE3EF5FC1EFD5AE3B74885241,REGENT SQ,Philadelphia, PA,39.947533605,-75.2079341359999,2,4200,N/S,39.94753360500005,-75.20793413599995
0101000020E610000024C9737DFFCC52C0C05B9C7529FB4340,0101000020110F00009E8970875CEF5FC1CA700FCD888A5241,GREEN ST,Philadelphia, PA,39.9622027410001,-75.203093875,10,300,B/S,39.962202741000056,-75.20309387499998
0101000020E61000003494A2E1C9CB52C09051FBA033F74340,0101000020110F0000FD0CAAA04EED5FC1D0F4FCA825865241,MORRIS,Philadelphia, PA,39.931263087,-75.184196862,23,600,B/S,39.93126308700005,-75.18419686199996
0101000020E6100000B4653C2126C852C008F88D00C5FC4340,0101000020110F000035F02CF41FE75FC166B467DC508C5241,BELGRADE ST,Philadelphia, PA,39.974762029,-75.12732726,25,300,S/S,39.97476202900003,-75.12732725999996
0101000020E6100000D4DEDF54CFCB52C0103290D473F64340,0101000020110F0000BF6A9EE257ED5FC1B83C3A3D51855241,WINTON ST,Philadelphia, PA,39.925409861,-75.184529513,24,1100,N/S,39.92540986100005,-75.18452951299997
0101000020E6100000906E133A84C852C08074D39B0EFC4340,0101000020110F000075887EC9BFE75FC1DC3935BA868B5241,DAY ST,Philadelphia, PA,39.9691958220001,-75.1330704869999,25,1200,W/S,39.969195822000074,-75.13307048699994
0101000020E6100000F88E58C081CD52C0506434FFE3044440,0101000020110F0000917D7ECA39F05FC1EFDBA20652955241,HENRY AVE,Philadelphia, PA,40.0382079130001,-75.2110443939999,8,3400,W/S,40.038207913000065,-75.21104439399994
0101000020E61000009802485686CA52C0C8ECCC7497F84340,0101000020110F0000F6AD110E29EB5FC1760B70CBAF875241,JUNIPER ST,Philadelphia, PA,39.9421220780001,-75.164449282,24,2600,W/S,39.94212207800007,-75.16444928199996
0101000020E610000010082F526CC952C0885442FEB9014440,0101000020110F0000E67ABB054AE95FC1C8AC07A6CF915241,OLD YORK RD,Philadelphia, PA,40.0134885620001,-75.147236391,11,4700,E/S,40.01348856200008,-75.14723639099998
0101000020E610000038E5A1543AC952C048A6847972F84340,0101000020110F000057BBCD1BF5E85FC141E231D486875241,S 08TH ST,Philadelphia, PA,39.94099349,-75.144185217,4,400,W/S,39.94099349000004,-75.14418521699997
0101000020E610000094A62E37BDCD52C048B785514AF94340,0101000020110F0000A86E03CC9EF05FC1EAAEA9EF75885241,S FARRAGUT TERR,Philadelphia, PA,39.947580519,-75.2146738009999,2,1000,E/S,39.94758051900004,-75.21467380099995
0101000020E610000050E2A2A9EACE52C050B10552DCF94340,0101000020110F0000488ECBD59EF25FC155B0ECAF17895241,HAZEL AVE,Philadelphia, PA,39.9520361450001,-75.2330726709999,2,4600,B/S,39.95203614500008,-75.23307267099995
0101000020E6100000686CF3223AC952C02841E03774F84340,0101000020110F00009D206AC7F4E85FC10F26A3C288875241,S 09TH ST,Philadelphia, PA,39.9410467000001,-75.144173372,22,600,B/S,39.94104670000007,-75.14417337199995
0101000020E6100000C0296B8265CA52C068E0C369E4F94340,0101000020110F00004E3B434BF1EA5FC1111639A720895241,CARPENTERST,Philadelphia, PA,39.952283116,-75.1624456449999,22,1000,B/S,39.95228311600005,-75.16244564499993
0101000020E610000050DD26533AC952C018CB944674F84340,0101000020110F0000E2E84919F5E85FC1EB3AEDD288875241,N 23RD ST,Philadelphia, PA,39.9410484530001,-75.144184864,17,700,W/S,39.941048453000064,-75.14418486399995
0101000020E610000024EFAC7513CB52C0E05DB1D0D8F84340,0101000020110F0000D46715C418EC5FC1BD535E32F8875241,KATER ST,Philadelphia, PA,39.944116675,-75.173062724,1,1700,S/S,39.94411667500003,-75.17306272399998
0101000020E6100000286F0F8E2ECB52C018F09FCC11F94340,0101000020110F0000E82B3BCA46EC5FC161CEBE5237885241,LOMBARD ST,Philadelphia, PA,39.9458556920001,-75.174716487,5,600,S/S,39.945855692000066,-75.17471648699996
0101000020E610000050CF94337ACD52C068E6B5BEFA094440,0101000020110F0000A9B57FF72CF05FC1A9D74197F79A5241,GERMANTOWN AVE,Philadelphia, PA,40.0779646290001,-75.210583587,21,8700,W/S,40.077964629000064,-75.21058358699997
0101000020E610000024C9737DFFCC52C0C05B9C7529FB4340,0101000020110F00009E8970875CEF5FC1CA700FCD888A5241,GREEN ST,Philadelphia, PA,39.9622027410001,-75.203093875,6,1600,B/S,39.962202741000056,-75.20309387499998
0101000020E61000002CBBBF2BD6CD52C088EEFC8967FB4340,0101000020110F0000E208A32FC9F05FC1457B2A97CD8A5241,FAIRMOUNT AVE,Philadelphia, PA,39.9640972600001,-75.2161969539999,10,300,B/S,39.964097260000074,-75.21619695399994
0101000020E610000038E5A1543AC952C048A6847972F84340,0101000020110F000057BBCD1BF5E85FC141E231D486875241,S 08TH ST,Philadelphia, PA,39.94099349,-75.144185217,22,700,B/S,39.94099349000004,-75.14418521699997
0101000020E6100000D82D4680DACA52C040C829DCE0F64340,0101000020110F000061261B04B8EB5FC1647259FDC9855241,CASTLE ST,Philadelphia, PA,39.9287371830001,-75.169586247,27,1400,S/S,39.92873718300007,-75.16958624699998
0101000020E610000098E5CB6E3AC952C010E87E8172F84340,0101000020110F000017F63E48F5E85FC1352508DD86875241,S 16TH ST,Philadelphia, PA,39.940994441,-75.1441914549999,27,2200,W/S,39.94099444100004,-75.14419145499994
